,name,jun,url,score,dinner,lunch
0,牛骨らぁ麺マタドール,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13128987/,3.75, 1000 1999, 1000 1999
1,宇豆基野 本店（うずきの）,豆腐料理・湯葉料理,https://tabelog.com/tokyo/A1324/A132402/13135449/,3.71,- -, 3000 3999
2,麺屋 音（オト）,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13161350/,3.69,0 999,0 999
3,つけめん さなだ,つけ麺,https://tabelog.com/tokyo/A1324/A132402/13240344/,3.69, 1000 1999, 1000 1999
4,徳多和良（とくだわら）,立ち飲み居酒屋・バー,https://tabelog.com/tokyo/A1324/A132402/13008682/,3.67, 2000 2999, 4000 4999
5,こばやし,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13138016/,3.66,0 999,0 999
6,バードコート,焼鳥,https://tabelog.com/tokyo/A1324/A132402/13003769/,3.65, 8000 9999,- -
7,かどや,和菓子,https://tabelog.com/tokyo/A1324/A132402/13008735/,3.64,0 999,0 999
8,アダッキオ（AD'ACCHIO）,ピザ,https://tabelog.com/tokyo/A1324/A132402/13177039/,3.63, 4000 4999, 1000 1999
9,北千住煮干中華蕎麦 かれん,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13275300/,3.63, 1000 1999, 1000 1999
10,ル・コントワール・ドゥ・レジオン,フレンチ,https://tabelog.com/tokyo/A1324/A132402/13140917/,3.62, 8000 9999, 40000 49999
11,蕎麦 あららぎ,そば,https://tabelog.com/tokyo/A1324/A132402/13188451/,3.61,- -, 3000 3999
12,ドランブイ（Drambuie）,バー,https://tabelog.com/tokyo/A1324/A132402/13116249/,3.59, 6000 7999,- -
13,菜香餃子房（サイコウギョウザボウ）,餃子,https://tabelog.com/tokyo/A1324/A132402/13158080/,3.58, 3000 3999,- -
14,パイの店　kibusi（きぶし）,スイーツ,https://tabelog.com/tokyo/A1324/A132402/13116815/,3.58,- -,0 999
15,ラーメン炙り（あぶり）,つけ麺,https://tabelog.com/tokyo/A1324/A132402/13124919/,3.57,0 999,0 999
16,ささや 北千住,もつ焼き,https://tabelog.com/tokyo/A1324/A132402/13050832/,3.57, 3000 3999,- -
17,下町割烹とめだて,割烹・小料理,https://tabelog.com/tokyo/A1324/A132402/13186518/,3.57, 6000 7999,- -
18,ここのつ,定食・食堂,https://tabelog.com/tokyo/A1324/A132402/13158606/,3.56, 1000 1999,0 999
19,麺屋 音 別邸（メンヤ オト ベッテイ）,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13196905/,3.56,0 999,0 999
20,市場食堂 さかなや,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13094964/,3.56, 5000 5999, 1000 1999
21,わかば堂,カフェ,https://tabelog.com/tokyo/A1324/A132402/13026497/,3.55, 3000 3999, 1000 1999
22,BOSSA BURGER,ハンバーガー,https://tabelog.com/tokyo/A1324/A132402/13211848/,3.55, 2000 2999, 1000 1999
23,タンブリン カレー&バー（TAMBOURIN CURRY＆BAR）,スリランカ料理,https://tabelog.com/tokyo/A1324/A132402/13184684/,3.54, 2000 2999, 1000 1999
24,是屋,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13141552/,3.54, 4000 4999,- -
25,ジンギスカン らむすけ,ジンギスカン,https://tabelog.com/tokyo/A1324/A132402/13157605/,3.54, 2000 2999,- -
26,ふらんすや（北千住ふらんすや）,パン,https://tabelog.com/tokyo/A1324/A132402/13058023/,3.54,0 999,0 999
27,コーヒーワークショップ・シャンティ（Coffee Work Shop Shanty）,喫茶店,https://tabelog.com/tokyo/A1324/A132402/13087803/,3.54,0 999,0 999
28,闘牛脂（マタドール）,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13158213/,3.54, 1000 1999, 1000 1999
29,DEVIL CURRY（デビルカレー）,カレーライス,https://tabelog.com/tokyo/A1324/A132402/13259111/,3.54, 1000 1999,0 999
30,ささやささ,もつ焼き,https://tabelog.com/tokyo/A1324/A132402/13172182/,3.54, 2000 2999,- -
31,cieloazzurro（シエロ アズッロ）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13057277/,3.54, 10000 14999,- -
32,サニーダイナー 本店（SUNNY DINER）,ハンバーガー,https://tabelog.com/tokyo/A1324/A132402/13033094/,3.53, 1000 1999, 1000 1999
33,ARK 北千住店（【旧店名】ジェイズカレー）,カレーライス,https://tabelog.com/tokyo/A1324/A132402/13168805/,3.53, 1000 1999, 1000 1999
34,びあマ,ビアバー,https://tabelog.com/tokyo/A1324/A132402/13200541/,3.53, 2000 2999, 1000 1999
35,カーサ カルマ（Casa Calma）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13041468/,3.53, 10000 14999, 2000 2999
36,焼肉 京城 北千住店（ヤキニクケイジョウ）,焼肉,https://tabelog.com/tokyo/A1324/A132402/13003740/,3.52, 5000 5999,- -
37,五味鳥（ごみとり）,焼鳥,https://tabelog.com/tokyo/A1324/A132402/13064836/,3.52, 3000 3999,- -
38,サニーダイナー ルミネ北千住店（SUNNY DINER）,ハンバーガー,https://tabelog.com/tokyo/A1324/A132402/13094114/,3.51,- -, 1000 1999
39,ニコミヤキッチン デリコッペ（2538kitchen DELIcoupe）,パン,https://tabelog.com/tokyo/A1324/A132402/13214425/,3.51,0 999,0 999
40,さかなや別邸,魚介料理・海鮮料理,https://tabelog.com/tokyo/A1324/A132402/13198593/,3.51, 10000 14999, 5000 5999
41,凛,割烹・小料理,https://tabelog.com/tokyo/A1324/A132402/13164810/,3.51, 5000 5999,- -
42,茶香（チャカ）,パンケーキ,https://tabelog.com/tokyo/A1324/A132402/13255382/,3.5,- -, 2000 2999
43,ライカノ,タイ料理,https://tabelog.com/tokyo/A1324/A132402/13003768/,3.49, 2000 2999,0 999
44,大はし（おおはし）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13003767/,3.49, 1000 1999, 1000 1999
45,千住の永見（せんじゅのながみ）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13008737/,3.49, 2000 2999, 2000 2999
46,天七 本店（てんしち）,串揚げ・串かつ,https://tabelog.com/tokyo/A1324/A132402/13008732/,3.49, 1000 1999, 1000 1999
47,東京屋台らーめん 翔竜（しょうりゅう）,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13009796/,3.49,0 999,0 999
48,もつ焼きおとんば 北千住店,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13120374/,3.49, 1000 1999,0 999
49,天婦羅いもや,天ぷら,https://tabelog.com/tokyo/A1324/A132402/13021090/,3.49, 1000 1999, 1000 1999
50,千住宿 珈琲物語（センジュシュクコーヒーモノガタリ）,コーヒー専門店,https://tabelog.com/tokyo/A1324/A132402/13019166/,3.49, 1000 1999,0 999
51,Bistro 2538,ビストロ,https://tabelog.com/tokyo/A1324/A132402/13104744/,3.48, 3000 3999,0 999
52,キッチンフライパン,かつ丼・かつ重,https://tabelog.com/tokyo/A1324/A132402/13077594/,3.48, 1000 1999, 1000 1999
53,フォーハノイ 北千住（PHO HANOI）,ベトナム料理,https://tabelog.com/tokyo/A1324/A132402/13097584/,3.48, 2000 2999, 1000 1999
54,千寿（せんじゅ）,うなぎ,https://tabelog.com/tokyo/A1324/A132402/13012272/,3.48, 5000 5999, 1000 1999
55,ピッツェリア アッローロ（Pizzeria ALLORO）,ピザ,https://tabelog.com/tokyo/A1324/A132402/13177980/,3.48, 2000 2999, 1000 1999
56,酒屋の酒場（さかやのさかば）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13012264/,3.48, 2000 2999, 2000 2999
57,きそば 柏屋（かしわや）,そば,https://tabelog.com/tokyo/A1324/A132402/13021086/,3.47, 2000 2999, 1000 1999
58,炭火焼ごっつり,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13126906/,3.47, 4000 4999,- -
59,にぎりの一歩,寿司,https://tabelog.com/tokyo/A1324/A132402/13167945/,3.47, 5000 5999,- -
60,藤や,ホルモン,https://tabelog.com/tokyo/A1324/A132402/13056171/,3.47, 1000 1999,0 999
61,天七 分店（てんしち）,串揚げ・串かつ,https://tabelog.com/tokyo/A1324/A132402/13016922/,3.47, 3000 3999, 2000 2999
62,さかづき Brewing（ブルーイング）,ビアバー,https://tabelog.com/tokyo/A1324/A132402/13250996/,3.47, 3000 3999,- -
63,鶴亀飯店（ツルカメハンテン）,中華料理,https://tabelog.com/tokyo/A1324/A132402/13094206/,3.46, 1000 1999,0 999
64,スロー ジェット コーヒー（SLOW JET COFFEE）,コーヒー専門店,https://tabelog.com/tokyo/A1324/A132402/13176053/,3.46,0 999,0 999
